number,description,citation,editor,type,location,date,text,notes,bibliography
99,bowl (ceramic),SE 65-68 (2002) REE 13 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),250,atakus,,
100,bowl (ceramic),SE 65-68 (2002) REE 16 (tav. XXXI),Marisa Buonamici,Proprietary Texts,Ager Pisanus (Massarosa),500-450,larθia,,
101,bowl (ceramic),SE 65-68 (2002) REE 125,Francesca Piva,Proprietary Texts,Venetia (Adria),200-150,ceisei,The inscription was incised in dextrograde ductus.,"Maggiani, Adriano. 2000. Hesperia 12, 95."
102,jar (ceramic),SE 65-68 (2002) REE 128,Giovanni Colonna,Proprietary Texts,Ager Saenensis (La Piana),350-200,mi arzal [ - - - ],,"Whitehead, Jane K. 1994. Etruscan Studies I, 135."
103,fragment of dolium (ceramic),SE 65-68 (2002) REE 129,Andrea Ciacci,Proprietary Texts,Ager Saenensis,100-80,l · velani · puina,The inscription is stamped on the rim of the jar.,"Ciacci, A. 2000. Un bollo doliare etrusco da Rocchette Pannocchieschi. AnnUnivSiena 21.71-81."
104,olla (ceramic),SE 65-68 (2002) REE 133 (tav. XLI),Giovanni Colonna,Other/Unclear Texts,Ager Tarquiniensis (Luni sul Mignone),archaic,[ – – – ]ema an σu[ . . ]rnaxe[ – – – ],"Bibliography:		Quercioli, M. 2001. Luni sul Mignone: Etruschi e Micenei. A cura di Bettina L. Knapp, Antemnae, Rassegna di archeolgia, arte, storia e letteratura 3.138-143 (fig. 1-5).",
105,bowl (ceramic),SE 65-68 (2002) REE 134,Giovanni Colonna,Proprietary Texts,Ager Tarquiniensis (San Giovenale),450-400,mi reices,,
106,aryballos (ceramic),SE 56 (1991) REE 42 (tav. LXII),Giovanni Colonna,Dedications,Veii,600,uθuzteθs vuvze,"Text (a) consists of two utterances: a proprietary text (line 1) followed by a dedication (lines 2-3). The gentilicium, kanzina, is uninflected and should probably be restored as a feminine genitive singular, kanzinaia, in agreement with the first name. The verb muluvace is misspelled. Read muluva(ni)ce.		Text (b) was incised in dextroverse direction. This is probably the 'signature' of the artisan.","Di Gennaro, F. 1986-87. BollCommArch 88,2.516.	Maras, Daniele. 2002. Note sull’arrivo del nome di Ulisse in Etruria. SE 65-68.237-239."
107,cippus (stone),SE 57 (1991) REE 34 (tav. XLVI),Pietro Tamburini,Funerary Texts,Volsinii (Bolsena),300-100,[ – – – ]θ : ai[ – – – ],,
108,kylix (ceramic),SE 56 (1991) REE 11 (tav. LV),Stella Patitucci,Proprietary Texts,Tarquinia,600,mi araθia,,
109,fragment of cup (ceramic),SE 65-68 REE 14 (tav. XXXI 14),Marisa Buonomici,Proprietary Texts,Aemilia (Luna),200-190,m . velimna,The inscription was incised in dextrograde ductus in a Republican Latin alphabet.,
110,bowl (ceramic),SE 65-68 REE 15 (tav. XXXI 15),Adriano Maggiani,Proprietary Texts,Pisae,500-450,ei menepi khape mi · mi : karkus	venelus,"The inscription was incised, except for venelus, around the rim of the foot of the bowl. venelus	was incised on the flat portion of the foot, inside the rim. The first	part of the text is an 'anti-theft' inscription. How the final portion	of the text is to be organized syntactically is not completely clear.	The editor suggests a division into three constituents: ei menepi khape.  mi venelus. mi karkus.. Following this analysis, one of the names refers to the owner of the piece, the other refers to the person who gave it.",
111,fragment of plate (ceramic),SE 65-68 (2002) REE 17 (tav. XXXI 17),Gabrielle Cifani - Giovanni Colonna,Dedications,Ager Volsiniensis,550-500,[- - -]ui tura[ce - - - ],,
112,fragment of a flask (ceramic),SE 65-68 REE 19 (tav. XXXI 19),Dominique Briquel,Artisans' Texts,Vulci,250-200,putina : ceizra : acil,The words in this inscription are separated by four puncts aligned vertically.,
113,fragment of vase (ceramic),SE 65-68 (2002) REE 22 (tav. XXXI 22),Vincenzo Bellelli,Proprietary Texts,Caere,500,mi larice[s],,
114,fragment of vase (ceramic),SE 65-68 (2002) REE 23 (tav. XXXI),Vicenzo Bellelli,Proprietary Texts,Caere,600-500,apa,,
115,fragment of kantharos (ceramic),SE 65-68 (2002) REE 24 (tav. XXXI 24),Vincenzo Bellelli,Other/Unclear Texts,Caere,600-500,[- - -]acle[- - -],,
116,fragment of vase (ceramic),SE 65-68 (2002) REE 25 (tav. XXXII),Vincenzo Bellelli,Other/Unclear Texts,Caere,600-500,[- - -]esus[- - -],,
117,fragments of small olla (ceramic),SE 65-68 (2002) REE 49 (tav. XXXII),Vincenzo Bellelli,Proprietary Texts,Caere,500-400,venels [ mi ],"The bottom rightmost portion of the final letter is visible. The editor suggests sigma, which would have to be retrograde in ductus. Alpha is also possible, and such a reading would change the syntax of the inscription (name of proprietor in the nominative?).",
118,fragment of olla (ceramic),SE 65-68 (2002) REE 71 (tav. XXXIII),Giovanni Colonna,Dedications,Veii,700-600,mi : raq[u]nθa : tipeia : θina : malaχ [: malaka]si : ita : mena[q]u,"The inscription has two constituents: (a) a proprietary text (mi : raq[u]nθa : tipeia : θina : ), which is followed by (b) a dedication malaχ [: malaka]si : ita : mena[q]u).",
119,fragment of Attic cup (ceramic),"SE 65-68 (2002) REE 72 (tav. XXXIII, 72)",Giovanni Colonna,Proprietary Texts,Veii,425-400,[- - -]fufluna [- - -],"Of the initial f only the leftmost portions (of curved strokes) are visible. The final letter is difficult to read, but it appears to be an alpha with the medial stroke ascending in the direction of writing.		Bibliography:			Sgubini Moretti, Anna Maria (a cura di). 2001. Veio, Cerveteri, Vulci. Città d’Etruria a confronto. Catalogo della Mostra. Roma: “L’Erma” di Bretschneider. [The inscription is on pp. 18-19 (F.Fu.). It is dated to 480-470.]",
120,fragment of phiale (ceramic),"SE 65-68 (2002) REE 73 (tav. XXXIII, 73)",Giovanni Colonna,Artisans' Texts,Veii,600-500,mi zinace velθ[ur a]ncinies.,"This fragment belongs to the same piece of ceramic as that with Rix Ve 3.44 ([m]ini nuluvanice lari.s. leθaie.s.). Both inscriptions were incised by the same hand.		/s/ has the form of the cross, X. A slender portion of the rightmost stroke of theta is visible. The first word may be an error for mini, the acc. form of the 1st pronoun.",
121,fragment of chalice or kantharos (ceramic),"SE 65-68 (2002) REE 74 (tav. XXXII, 74)",Daniele F. Maras,Proprietary Texts,Ager Capenas (Procoio Nuovo),600-550,[ -  -  - ]xiiene.[ -  -  - ],"The point that stands just before the break in the ceramic, if it is not	an abrasion on the surface of the ceramic, may be syllabic punctuation.",
122,fragment of cup (ceramic),SE (2002) 65-68 REE 76 (tav. XXXII),Laura Biondi,Proprietary Texts,Narce,500-400,apalus,,
123,cup (ceramic),"SE 65-68 (2002) REE 76 (tav. XXXII, 76)",Laura Biondi,Proprietary Texts,Narce,450-400,peiθe,,
124,fragment of small flask (ceramic),"SE 65-68 (2002) REE 78 (tav. XXXIV, 78)",Giuseppina Ghini - Giovanni Colonna,Artisans' Texts,Latium (Velitrae),250-200,putina : ceizra : acil,"Replicas of this flask and inscription have been found at Bolsena (3),	Roma (1), Caere (2) and Vulci (1). For the inscription from Vulci see	ETP 112.",
125,bowl (ceramic),"SE 65-68 (2002) REE 79 (tav. XXXIV, 79)",Vincenzo Bellelli,Abecedaria,Campania (Nola),500,a c e v φ f,"Gamma is written in retrograde ductus. The reading of the final two letters is not certain. φ is in the form of a trident turned on its head. f is of the Faliscan variety, which is in the form of an arrow.",
126,bowl (ceramic),"SE 65-68 (2002) REE 81 (tav. XXXIV, 81)",Vincenzo Bellelli,Proprietary Texts,Campania (Nola),550-500,uσeli · i,"The palatal /š/ is represented by three-bar sigma. It seems likely that the first part of this text is to be corrected to uσele, which is a common praenomen in the archaic period, but this solution does not address the final portion of the inscription.",
127,tegola (ceramic),SE 65-68 (2002) REE 82 (tav. ),Giovanni Colonna,Other/Unclear Texts,Campania (Fratte di Salerno),500-400,[ -  -  - ]θ nerc[ -  -  - ],"Theta has no medial strokes or punct. Ny has the form H, but with the medial sloping slightly in the direction of writing.",
128,chalice (ceramic),SE 65-68 (2002) REE 84 (tav. XXXIV),Giovanni Colonna,Dedications,Campania (Pontecagnano),650-600,mi mulu venelasi velχaesi rasuniesi,,
129,olpe (ceramic),SE 65-68 (2002) REE 87 (tav. XXXV),Giovanni Colonna,Proprietary Texts,Campania (Pontecagnano),500,miliθunas plecus,,
130,cup (ceramic),SE 65-68 (2002) REE 88 (tav. XXXV),Giovanni Colonna,Proprietary Texts,Campania (Pontecagnano),500,mi larisal meminiies,,
131,kylix (ceramic),SE 65-68 (2002) REE 90 (tav. XXXV),Giovanni Colonna,Other/Unclear Texts,Campania (Pontecagnano),500-475,θavura,,
132,cup (ceramic),SE 65-68 (2002) REE 91 (tav. XXXV),Giovanni Colonna,Proprietary Texts,Campania (Pontecagnano),500-475,laruθ χiius,,
133,kylix (ceramic),SE 65-68 (2002) REE 93 (tav. XXXV),Giovanni Colonna,Proprietary Texts,Campania (Pontecagnano),400,mi alza ceriies,,
134,cup (ceramic),SE 65-68 (2002) REE 94 (tav. XXXV),Giovanni Colonna,Proprietary Texts,Campania (Pontecagnano),400,artes ta,,
135,cup (ceramic),SE 65-68 (2002) REE 96 (tav. XXXV),Giovanni Colonna,Other/Unclear Texts,Campania (Pontecagnano),375-350,tiχ,,
136,cup (ceramic),SE 65-68 (2002) REE 97 (tav. XXXV),Giovanni Colonna,Other/Unclear Texts,Campania (Pontecagnano),375-350,atina,,
137,cup (ceramic),SE 65-68 (2002) REE 100 (tav. XXXV),Giovanni Colonna,Other/Unclear Texts,Campania (Pontecagnano),650-575,θac θva,,
138,cinerary urn (ceramic),SE 65-68 (2002) REE 102 (tav. XXXVI),Dominique Briquel,Funerary Texts,Unknown,recent,[ – – – ]a : nx[ – – – ],The inscription was painted on the urn. The urn is of a type common at Chiusi and environs.,
139,cinerary urn (ceramic),SE 65-68 (2002) REE 103 (tav. XXXVI),Dominique Briquel,Funerary Texts,Unknown,recent,arnθ [ – – – ]runa : fulu,The inscription was painted along the upper border of the urn. The urn belongs to a type produced at Chiusi.,
140,cinerary urn (ceramic),SE 65-68 (2002) REE 104 (tav. XXXVI),Dominique Briquel - Bruno Poulle,Funerary Texts,Unknown,recent,θ : cae [:] umr[an]al,The inscription was painted along the upper border of the urn. The urn belongs to a type that was produced at Chiusi.,
141,cinerary urn (ceramic),SE 65-68 (2002) REE 106 (tav. XXXVI),Dominique Briquel - Richard Adam,Funerary Texts,Unknown,recent,l[ – – – ]atin[ – – – ]am [ – – – ]nal,"The inscription was painted in red letters that run along the upper	border of the cask. According to the editors, the text may be restored	as l[θ l]atin[i n]am[uθ]nal. However, the editors do not indicate the length of the interval between the l and the a at the beginning of the text. The urn belongs to a type that was produced at Chiusi.",
142,cinerary urn (ceramic),SE 65-68 (2002) REE 107,Dominique Briquel - Bruno Poulle,Funerary Texts,Unknown,recent,[ - - - ]x[.]x calix[ – – – ] a : velθxx[ – – – ],"The inscription was painted in black letters running along the upper	border of the cask. According to the editors, the praenomen and	gentilicium could be restored as [lar]θ[i] : calis[nei – – –]a : velθur[ials].",
143,cinerary urn (ceramic),SE 65-68 (2002) REE 108 (tav. XXXVI),Dominique Briquel - Dominique Frère - Laurent Hugot,Funerary Texts,Unknown,recent,la[r]θi : θactr[ei  - - - ],The urn is of Chiusine production. The inscription was painted in red along the upper border of the cask.,"Mowat, Robert. 1897. Deux urnes funéraires récemment entrées au Musée de Laval. Bulletin de la commission historique et archéologique de la Mayenne 13.91-101 [91-96, photograph pg. 92]."
144,cinerary urn (ceramic),SE 65-68 (2002) REE 109 (tav. XXXVI),Dominique Briquel - Marie-Laurence Haack,Funerary Texts,Unknown,recent,[ – – – ]t[ – – – ]vel[ . . (?)],The inscription was painted in red along the upper border of the cask.,
145,cinerary urn (ceramic),SE 65-68 (2002) REE 110,Dominique Briquel,Funerary Texts,Unknown,recent,aθ : [ – – – ]ni[ – – –]e[ – – – ],The urn is of Chiusine production. The inscription was painted in red along the upper border of the cask.,
146,oinochoe (bronze),SE 65-68 (2002) REE 111 (tav. XXXVI),Dominique Briquel,Funerary Texts,Unknown (South),400-300,σuθina,The inscription was incised in dextroverse direction on the belly of	the pitcher. The editor questions the authenticity of this text.,
147,fragments of oinochoe (bronze),SE 65-68 (2002) REE 112,Dominique Briquel,Funerary Texts,Unknown (South),400-200,σuθina,The inscription was incised along the inside rim of the neck of the pitcher.,
148,funerary urn (ceramic),SE 65-68 (2002) REE 113 (tav. XXXVI),Dominique Briquel,Funerary Texts,Unknown,400-200,[ . ]θ[ . . . . ]ucx[ . . . ]uxumsnal : l	ca[i]a : [pui]a :,The urn is of Chiusine production. The inscription was painted in red	along the upper border of the cask and then it turns runs down along the	left side. The editor suggests the following restoration of the text as	one possibility:		[l]θ[: la]uca[ne : la]ucumsnal : l	ca[ i ]a : [pui]a :,
149,funerary urn (ceramic),SE 65-68 (2002) REE 114 (tav. XXXVI),Dominique Briquel,Funerary Texts,Unknown,recent,[f]aσti : cainei : c[vacat]aulias : rufe,The urn is of Chiusine production. The inscription was painted in red	along the upper border of the cask. The editor notes that the praenomen of the deceased could also be restored as [h]aσti.,
150,two pieces of large amphora or oinochoe (bronze),SE 65-68 (2002) REE 115 (tav. XXXVII),Giovanni Colonna,Proprietary Texts,Unknown,450-400,tite θve[8-10 letters],Inscription (a) was incised around the rim of the bronze. (b) runs	vertically starting just below the first letter of the last word.	Inscription (b) may be restored as tite θve[θlies turce].,
151,sarcophagus (ceramic),SE 65-68 (2002) REE 116 (tav. XXXVII-XXVIII),Giovanni Colonna,Funerary Texts,Unknown,200-175,σcurnai [ · se]θ[ra – – – ]	psa · a[ – – – ]xe · a[ – – – ],The inscription was painted in two lines on the cask of the sarcophagus.,
152,chalice (ceramic),SE 65-68 (2002) REE 139,Giovanni Colonna,Other/Unclear Texts,Veii,700-600,vka,The letters were incised upside down in dextrograde ductus on the external wall of the vase.,
153,two fragments of alabastron or olpe (ceramic),SE 65-68 (2002) REE 141,Lorenzo Minciotti – Daniele F. Maras,Other/Unclear Texts,Veii,archaic,[ – – – ]utruhx[ – – – ],For fragment one see SE (1971) REE 40.,
154,fragment of Laconian (?) amphora (ceramic),SE 65-68 (2002) REE 145 (tav. XLI),Giovanni Colonna,Proprietary Texts,Campania (Pompeii),525-500,[ – – – ] papeσa,,
155,lebete (bronze),SE 65-68 (2002) REE 150 (tav. XLI),Giovanni Colonna,Dedications,Lucania (Vaglio Basilicata),525-500,mine{i} uvi[e tu]ru[ce] xxx vesricenals,,
156,kylix (ceramic),SE 56 (1991) REE 2 (tav. LV),Daniele Vitali,Proprietary Texts,Aemilia (Monterenzio/Bologna),350-300,pav,,
157,bowl (ceramic),SE 56 (1991)  REE 3 (tav. LV),Daniele Vitali,Proprietary Texts,Aemilia (Monterenzio/Bologna),350-300,fulu,,
158,kylix (ceramic),SE 56 (1991) REE 4 (tav. LV),Daniele Vitali,Proprietary Texts,Aemilia (Monterenzio/Bologna),320-300,mi laθialus,,
159,small olla (ceramic),SE 56 (1991)  REE 5 (tav. LV 5),Giovanni Colonna,Other/Unclear Texts,Volaterrae,250-200,[ - - - ]mvχza,,
160,cover of cinerary urn (stone),SE 56 (1991) REE 6 (tav. LVI),Giovanni Colonna,Funerary Texts,Volaterrae,100,a · a · pumpnaliσa,,
161,sarcophagus (stone),SE 56 (1991)  REE 7 (tav. LVI),Elfriede Paschinger,Didaskalia,Volcii,350-300,van[θ],The inscription was incised on the cover of the sarcophagus adjacent to a figure of the goddess.,
162,cippus (stone),SE 56 (1991)  REE 8,Pietro Tamburini,Funerary Texts,Volsinii (Bolsena),300-100,θania : alσinei,,"Tamburini, Pietro. 1987. Contributi per la storia del territorio volsiniese I. I cippi funerari e l’onomastica. MEFRA99.640-642."
163,ovoid cippus (stone),SE 56 (1991)  REE 9 (tav. LVI),Pietro Tamburini,Funerary Texts,Ager Volsiniensis (Isola Martana),350-300,av · talus,av and al were written as ligatures.,
164,kylix (ceramic),SE 56 (1991)  REE 11 (tav. LV),Roberto Macellari,Proprietary Texts,Tarquinia,650-600,mi araθia,,
165,olla (ceramic),SE 56 (1991) REE 12 (tav. LVIII),Giovanni Colonna,Proprietary Texts,Caere,650-625,mi satu qurtunia{nia}s,The editor believes that the inscription was incised by two hands.	Letters 1-9 are rather large; the rest of the letters are considerably	smaller.,
166,goblet (ceramic),SE 56 (1991)  REE 13 (tav. LVII),Marina Martelli,Proprietary Texts,Caere,675-650,mi ramuθas,"Text (a) was inscribed in sinistrograde ductus, text (b) in dextrograde ductus.",
167,fragment of Attic kylix (ceramic),SE 56 (1991) REE 14 (tav. LVII),Marina Martelli,Proprietary Texts,Caere,500-480,[ - - - ]senθiial[ - - - ],,
168,loom weight (ceramic),SE 56 (1991) REE 15 (tav. LVII),Marina Martelli,Proprietary Texts,Caere,recent,han,,
169,fragment of tegola (ceramic),SE 56 (1991) REE 16 (tav. LVII),Marina Martelli,Funerary Texts,Caere,recent,[ - - - ]rati[ - - - ],,
170,cippus (stone),SE 56 (1991)  REE 17,Maristella Pandolofini,Funerary Texts,Caere,500-480,m · clevsinas · a · c,The cippus is now lost. The inscription is mentioned a manuscript in the	Vatican Library (codex Latino Vaticano 9773) from the year 1833.,
171,olla (ceramic),SE 56 (1991) REE 18 (tav. LVIII),Paolo Brocato - Giovanni Colonna,Other/Unclear Texts,Caere,300-280,θanaχti,,
172,plate (ceramic),SE 56 (1991)  REE 19 (tav. LVIII),Marco Rendeli,Other/Unclear Texts,Ager Caeretanus (Tolfa),520-475,puzra,,
173,fragment of Attic kylix (ceramic),SE 56 (1991)  REE 21 (tav. LVIII),Giovanni Colonna,Religious Texts,Pyrgi,500-450,mi : σuris : ca[ - - - ],The /š/ in  σuris is a 4-bar sigma.,
174,fragment of bowl (ceramic),SE 59 (1994) REE 4 (tav. XLII),Stella Patitucci - Giovanni Uggeri,Proprietary Texts,Venetia (Spina),425-400,[a]vlex[ – – – ],"A small portion of the stroke of another letter is visible at the break	in the fabric. It could be the upper rightmost portion of a tsade, in which case we could read [a]vles [ – – – ].",
175,bowl (ceramic),SE 59 (1994) REE 10 (tav. XLIII),Marina Martelli,Proprietary Texts,Venetia (Spina),300,perknas,,
176,fragment of cup (ceramic),SE 59 (1994) REE 11 (tav. XLIII),Marisa Buonamici,Other/Unclear Texts,Volaterrae,350-300,mu[ – – – ],The editor proposes to restore the inscription as mu[nθ].,
177,fragment of cup (ceramic),SE 59 (1994) REE 12 (tav. XLIII),Marisa Buonamici,Proprietary Texts,Volaterrae,225-150,cavinal,,
178,fragment of plate (ceramic),SE 59 (1994) REE 14 (tav. XLIII),Marisa Buonamici,Other/Unclear Texts,Volaterrae,150,[ – – – ]arx[ – – – ],The editor notes that the third character could be either θ or c.,
179,cippus (stone),SE 59 (1994) REE 15 (tav. XLIV),Rosella Merli,Funerary Texts,Ager Volaterranus (San Gimignano),500-450,[ m]i velθuru[s] aχus,,
180,cinerary urn (stone),SE 59 (1994) REE 16 (tav. XLIV),Gabriele Cifani,Funerary Texts,Clusium,200,vel : [p]apa[s] : v,,
181,cinerary urn (stone),SE 59 (1994) REE 17 (tav. XLIV),Ole Hjordt-Vetlesen,Funerary Texts,Ager Clusinus,200,meinei · papaσliσ	a · vl · titialc · sec,,
182,plate (ceramic),SE 59 (1994) REE 18 (tav. XLV),Pietro Tamburini,Proprietary Texts,Ager Volsiniensis (Grotte di Castro),600-500,fastia,,
183,Attic amphora (ceramic),SE 59 (1994) REE 19 (tav. XLV),Maristella Pandolfini,Proprietary Texts,Ager Tarquiniensis (Blera),500,avalnies,,
184,wall of tomb (stone),SE 59 (1994) REE 20 (tav. XLV),Luciano Santella,Funerary Texts,Ager Tarquiniensis (San Giovenale),550,[m]i larusi ziχan[ – – – ],,
185,fragment of vase (ceramic),SE 59 (1994) REE 21 (tav. XLV),Gabriele Cifani - Giovanni Colonna,Proprietary Texts,Ager Veientanus (Prima Porta),500,m zu[ – – – ],,
186,fragment of handle of kantharos or kyathos (ceramic),SE 59 (1994) REE 22 (tav. XLV),Alessandro Naso,Dedications,Ager Faliscus (Mazzano Romano),600-550,leθaie mulvanice mi.ne vhulve.s.,,
187,fragment of vase (ceramic),SE 59 (1994) REE 23 (tav. LI),Paolo Brocato,Proprietary Texts,Roma,600-580,[ – – – ]raices zav[ – – – ],,
188,cinerary urn (ceramic),SE 59 (1994) REE 24 (tav. LI),Martin Bentz,Funerary Texts,Unknown,175-100,larθi  · larci : vetna[l],The urn belongs to a type common at Chiusi. The metronymic could also have the form vetna[liσa].,
189,weight (bronze),SE 59 (1994) REE 26 (tav. XLVII-XLVIII),Larissa Bonfante,Dedications,Unknown,400-200,ecn : turce : laris : θefries : espial : atial : caθas,,
190,pedestal (stone),SE 59 (1994) REE 27 (tav. XLIX),Rex Wallace,Dedications,Unknown,400-200,laris	raθmsnas	turce,,
191,Attic kylix (ceramic),SE 59 (1994) REE 44,Marina Martelli,Religious Texts,Tarquinia,480,turuns,,
192,sarcophagus (stone),SE 59 (1994) REE 45,Giovanni Colonna,Funerary Texts,Ager Tarquiniensis (Tuscania),275-250,cleusinas : laris : larisal : clan,,
193,amphora (ceramic),SE 59 (1994) REE 46 (tav. LIII),Giovanni Colonna,Proprietary Texts,Caere,350-250,laris	ecnatie,,
194,cinerary urn (ceramic),SE 59 (1994) REE 50 (tav. LIII),Dominique Briquel,Funerary Texts,Unknown,200-100,faσti · vetrui s[ . . ]x[ . ]x[ . ]a,The form of the urn is Chiusine. The inscription was painted in red letters. The editor notes that personal name could also be haσti.,
195,strigile (bronze),SE 59 (1994) REE 51 (tav. LIV),Giovanni Colonna,Artisans' Texts,Unknown,300,ae vipie cultces,The text was stamped on the handle of the strigile.,
196,kyathos (ceramic),BdA 82 (1993) 1-10 (tav. 1-19),Maria Antonietta Rizzo - Mauro Cristofani,Dedications,Caere,650,[mi]ni venel paiθina[s mu]luvnice,"The verb [mu]luvnice should be corrected to [mu]luv(a)nice.		Bibliography:			Rizzo, Maria Antonietta &amp; Mauro Cristofani. 1993. Un kyathos e	altri vasi iscriti dale tombe orientalizzanti di San Paolo a Cerveteri. Bolletino d’Arte del Ministro per i Beni Culturali e Ambientali (BdA)82.1-10.",
197,olla (ceramic),"BdA 82 (1993) 1-10 (tav. 20, 24)",Maria Antonietta Rizzo,Proprietary Texts,Caere,650-625,mi larθia tarnas,,"Rizzo, Maria Antonietta &amp; Mauro Cristofani. 1993. Un kyathos e	altri vasi iscriti dale tombe orientalizzanti di San Paolo a Cerveteri. Bolletino d’Arte del Ministro per i Beni Culturali e Ambientali (BdA) 82.1-10."
198,olla (ceramic),BdA (1993) 82.1-10 (tav. 22-23),Maria Antonietta Rizzo,Proprietary Texts,Caere,650-625,mi larθia tarinas,,"Rizzo, Maria Antonietta &amp; Mauro Cristofani. 1993. Un kyathos e	altri vasi iscriti dale tombe orientalizzanti di San Paolo a Cerveteri. Bolletino d’Arte del Ministro per i Beni Culturali e Ambientali (BdA) 82.1-10."
199,cinerary urn (ceramic),SE 61 (1996) REE 1 (tav. XXXIX),Helmut Rix,Funerary Texts,Clusium,100,ve : ane : vezra : laurstia	l,"The inscription was painted on the upper border of the cask of the urn. The final letter of the inscription, l, was painted in the left margin.",
200,cippus (stone),SE 61 (1996) REE 2 (tav. XXXIX),Pietro Tamburini,Funerary Texts,Volsinii,200-100,vipe : acries,,
201,fragment of bowl (ceramic),SE 61 (1996) REE 3 (tav. XL),Paola Giulinelli,Proprietary Texts,Ager Faliscus (Falerii),400-300,cnaviies mi,Nu and mu were written retrograde.,
202,fragment of bowl (ceramic),SE 61 (1996) REE 4 (tav. XL),Paola Giulinelli,Proprietary Texts,Ager Faliscus (Corchiano),300-100,arnθial ur[ – – – ],"The editor suggests that the family name is to be restored as ur[inates], a name that is well attested north of the Ager Faliscus in the Hellenistic period.",
203,fragment of bowl (ceramic),SE 61 (1996) REE 7 (tav. XLI),Horst Blanck,Proprietary Texts,Campania (Pompeii),archaic,luvcie[ – – – ],,
204,Attic kylix (ceramic),SE 61 (1996) REE 8 (tav. XLI),Mauro Cristofani,Proprietary Texts,Campania (Pontecagnano),475-450,ani,The inscription was incised in dextroverse direction.,
205,bowl (ceramic),SE 61 (1996) REE 9 (tav. XLI),Mauro Cristofani,Proprietary Texts,Campania (Pontecagnano),400,aveles hanpnas,,
206,cup (ceramic),SE 61 (1996) REE 10 (tav. XLII),Gianni Bailo Modesti,Proprietary Texts,Campania (Pontecagnano),600-550,mi nanes,,
207,cinerary urn,SE 61 (1996) REE 12,Dominique Briquel,Funerary Texts,Unknown,recent,θana [p]ercnei salias,(a) was painted in black along the border of the cask of the urn. (b)	was incised over it. The family name of the deceased in (a) could also	be  re[m]n[i]. The urn is of a type common at Chiusi.,
208,cup (ceramic),SE 61 (1996) REE 15,Alessandro Naso,Proprietary Texts,Unknown,630-600,mi larθus,,
209,askos (ceramic),SE 61 (1996) REE 16 (tav. ),Alessandro Naso,Proprietary Texts,Unknown,650-600,mi venelus σiθurnas,,
210,helmet (bronze),SE 61 (1996) REE 22 (tav. ),Marina Martelli,Other/Unclear Texts,Unknown,500-470,cap,"According to the editor, text (b) records the first part of the name of the owner the helmet. Text (a) may be the numeral 6.",
211,Attic cup (ceramic),SE 61 (1996) REE 23 (tav. XLIV),Maristella Pandolfini Angeletti,Proprietary Texts,Unknown,500-450,venel,,
212,kylix (ceramic),SE 61 (1996) REE 24 (tav. XLV),Maristella Pandolfini Angeletti,Proprietary Texts,Unknown,500-450,atana,,
213,lintel of tomb (stone),AnnMuseoFaina (1990) 4.79,Carlo de Simone,Funerary Texts,Volsinii (Orvieto) archaic,,[mi] aranθia lapanas,,"De Simone, Carlo. 1990. L'epigrafia etrusca arcaica di Orvieto. AnnMuseoFaina 4.75-79."
214,lintel of tomb (stone),AnnMuseoFaina (1990) 4.79,Carlo de Simone,Funerary Texts,Volsinii (Orvieto) archaic,,mi aveles metienas,,"De Simone, Carlo. 1990. L'epigrafia etrusca arcaica di Orvieto. AnnMuseoFaina 4.75-79."
215,fragment of vase (ceramic),"Opuscula Romana 24 (1999) 64, 1 (Fig. 3)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Proprietary Texts,Ager Tarquiniensis (San Giovenale),600-550,mi urqenas,,"Colonna, Giovanni &amp; Yvonne Backe Forsberg. 1999. Le iscrizione	del ‘sacello’ del ponte di San Giovenale. Opuscula Romana 24.63-78."
216,fragment of vase (ceramic),"Opuscula Romana 24 (1999) 65, 3 (Fig. 3)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Proprietary Texts,Ager Tarquiniensis (San Giovenale),550-500,mi larza,,"Colonna, Giovanni &amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. Opuscula Romana 24.63-78."
217,fragment of bowl (ceramic),"Opuscula Romana 24 (1999) 65, 6 (Fig. 3)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Proprietary Texts,Ager Tarquiniensis (San Giovenale),archaic,mi xx[ – – – ],Of letters three and four only the vertical bars are visible. Colonna proposes to read mi ti[tes – – – ].,"Colonna, Giovanni &amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. Opuscula Romana 24.63-78."
218,fragment of bowl (ceramic),"Opuscula Romana 24 (1999) 65, 7 (Fig. 3)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Other/Unclear Texts,Ager Tarquiniensis (San Giovenale),archaic,[ – – – ]alix[ – – – ],Colonna notes that the surviving portion of the text may be restored as [ – – – ]alik[e – – – ].,"Colonna, Giovanni &amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. Opuscula Romana 24.63-78."
